Country,Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Cases/Million,Total Deaths/Million,ICU Patients/Million,Hospital Patients/Million,Total Tests/Million,New tests/Million,Positive Rate,Total Vaccinations,People Vaccinated,People Fully Vaccinated,New Vaccinations,Population,GDP / capita
Afghanistan,28/01/2021,54891,37,2397,8,1410.052,61.575,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,28/02/2021,55714,7,2443,0,1431.194,62.756,0,0,0,0,0,8200,8200,0,0,38928341,1803.987
Afghanistan,28/03/2021,56294,4,2470,1,1446.093,63.45,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,28/04/2021,59370,145,2611,13,1525.11,67.072,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,29/01/2021,54939,48,2399,2,1411.285,61.626,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,29/03/2021,56322,28,2472,2,1446.812,63.501,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,29/04/2021,59576,206,2618,7,1530.402,67.252,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,30/01/2021,55008,69,2400,1,1413.058,61.652,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,30/03/2021,56384,62,2476,4,1448.405,63.604,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,30/04/2021,59745,169,2625,7,1534.743,67.432,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,31/01/2021,55023,15,2400,0,1413.443,61.652,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,31/03/2021,56454,70,2484,8,1450.203,63.81,0,0,0,0,0,0,0,0,0,38928341,1803.987
